Realtidsbalansrapport ;""
Kundnamn: Brf Strandparken Kungsholmen;""
Organisationsnummer: 716420-4682;""
"";""
"";"Ingående balans
(2012-01-01)
";"2012-01-01 - 2012-12-31";"Utgående balans
(2012-12-31)"
"TILLGÅNGAR";"";"";""
"ANLÄGGNINGSTILLGÅNGAR";"";"";""
"MATERIELLA ANLÄGGNINGSTILLGÅNGAR";"";"";""
"BYGGNADER OCH MARK";"";"";""
"1110 Byggnader";"106 732 263";"0";"106 732 263"
"1116 Ack avskrivning Byggnader";"-3 533 480";"-108 639";"-3 642 119"
"Summa Byggnader och mark";"103 198 783";"-108 639";"103 090 144"
"MASKINER OCH INVENTARIER";"";"";""
"1220 Maskiner och inventarier";"191 874";"0";"191 874"
"1229 Ack.avsk.maskiner & inv";"-191 874";"0";"-191 874"
"Summa Maskiner och inventarier";"0";"0";"0"
"Summa materiella anläggningstillgångar";"103 198 783";"-108 639";"103 090 144"
"FINANSIELLA ANLÄGGNINGSTILLGÅNGAR";"";"";""
"LÅNGFRISTIGA VÄRDEPAPPERSINNEHAV";"";"";""
"1341 Insats Branschorganisation";"25 000";"0";"25 000"
"Summa Långfristiga värdepappersinnehav";"25 000";"0";"25 000"
"Summa finansiella anläggningstillgångar";"25 000";"0";"25 000"
"Summa Anläggningstillgångar";"103 223 783";"-108 639";"103 115 144"
"OMSÄTTNINGSTILLGÅNGAR";"";"";""
"KORTFRISTIGA FORDRINGAR";"";"";""
"KUND- OCH AVGIFTSFORDRINGAR";"";"";""
"1510 Avräkn. avgifts-& hyresfordr.";"0";"-505 654";"-505 654"
"Summa Kund- och avgiftsfordringar";"0";"-505 654";"-505 654"
"ÖVRIGA KORTFRISTIGA FORDRINGAR";"";"";""
"1630 Avräkn skatter o avgifter";"265 237";"-232 458";"32 779"
"1640 Skattefordringar";"-40 974";"40 974";"0"
"Summa Övriga kortfristiga fordringar";"224 263";"-191 484";"32 779"
"FÖRUTBETALDA KOSTNADER OCH UPPLUPNA INTÄKTER";"";"";""
