Realtidsbalansrapport ;""
Kundnamn: Brf Strandparken Kungsholmen;""
Organisationsnummer: 716420-4682;""
"";""
"";"Ingående balans
(2014-01-01)
";"2014-01-01 - 2014-12-31";"Utgående balans
(2014-12-31)"
"TILLGÅNGAR";"";"";""
"ANLÄGGNINGSTILLGÅNGAR";"";"";""
"MATERIELLA ANLÄGGNINGSTILLGÅNGAR";"";"";""
"BYGGNADER OCH MARK";"";"";""
"1110 Byggnader";"106 732 263";"0";"106 732 263"
"1114 Fastighetsförbättringar";"96 375";"0";"96 375"
"1116 Ack avskrivning Byggnader";"-3 971 295";"-834 136";"-4 805 431"
"1117 Ack. avsk. fast.förb";"-6 425";"-5 623";"-12 048"
"Summa Byggnader och mark";"102 850 918";"-839 759";"102 011 160"
"MASKINER OCH INVENTARIER";"";"";""
"1220 Maskiner och inventarier";"191 874";"-191 874";"0"
"1229 Ack.avsk.maskiner & inv";"-191 874";"191 874";"0"
"Summa Maskiner och inventarier";"0";"0";"0"
"Summa materiella anläggningstillgångar";"102 850 918";"-839 759";"102 011 160"
"Summa Anläggningstillgångar";"102 850 918";"-839 759";"102 011 160"
"OMSÄTTNINGSTILLGÅNGAR";"";"";""
"KORTFRISTIGA FORDRINGAR";"";"";""
"KUND- OCH AVGIFTSFORDRINGAR";"";"";""
"1510 Avräkn. avgifts-& hyresfordr.";"-302 644";"-207 928";"-510 572"
"Summa Kund- och avgiftsfordringar";"-302 644";"-207 928";"-510 572"
"ÖVRIGA KORTFRISTIGA FORDRINGAR";"";"";""
"1630 Avräkn skatter o avgifter";"471";"5";"476"
"1680 Övriga kortfristiga fordringar";"0";"-57 867";"-57 867"
"Summa Övriga kortfristiga fordringar";"471";"-57 862";"-57 391"
"FÖRUTBETALDA KOSTNADER OCH UPPLUPNA INTÄKTER";"";"";""
"1730 Förutbet försäkr premier";"50 778";"2 539";"53 317"
"1790 Övr förutb kostn uppl int";"190 072";"5 675";"195 747"
"Summa Förutbetalda kostnader och upplupna intäkter";"240 850";"8 214";"249 064"
"Summa kortfristiga fordringar";"-61 323";"-257 576";"-318 899"
"KASSA OCH BANK";"";"";""
"1910 Kassa";"7 915";"-7 149";"766"
"1930 Checkräkning";"813 170";"523 094";"1 336 265"
"Summa kassa och bank";"821 085";"515 946";"1 337 031"
"Summa Omsättningstillgångar";"759 762";"258 370";"1 018 132"
"Summa Tillgångar";"103 610 680";"-581 389";"103 029 291"
"EGET KAPITAL OCH SKULDER";"";"";""
"EGET KAPITAL";"";"";""
"BUNDET EGET KAPITAL";"";"";""
"MEDLEMSINSATSER";"";"";""
"2083 Insatser";"-44 628 132";"0";"-44 628 132"
"2087 Upplåtelseavgifter";"-954 155";"0";"-954 155"
"2089 Egna bostadsrätter";"-3 796 443";"-654 963";"-4 451 406"
"Summa Medlemsinsatser";"-49 378 730";"-654 963";"-50 033 693"
"Summa bundet eget kapital";"-49 378 730";"-654 963";"-50 033 693"
"FRITT EGET KAPITAL";"";"";""
"BALANSERAD VINST/FÖRLUST";"";"";""
"2091 Balanserad vinst/förlust";"-4 502 605";"-330 695";"-4 833 299"
"Summa Balanserad vinst/förlust";"-4 502 605";"-330 695";"-4 833 299"
"ÅRETS VINST/FÖRLUST";"";"";""
"2099 Årets resultat";"-985 657";"-7 468";"-993 124"
"Summa Årets vinst/förlust";"-985 657";"-7 468";"-993 124"
"Summa fritt eget kapital";"-5 488 261";"-338 162";"-5 826 424"
"LÅNGFRISTIGA SKULDER";"";"";""
"SKULDER TILL KREDITINSTITUT";"";"";""
"2351 Fastighetslån";"-46 366 351";"2 018 551";"-44 347 800"
"Summa Skulder till kreditinstitut";"-46 366 351";"2 018 551";"-44 347 800"
"ÖVRIGA LÅNGFRISTIGA SKULDER";"";"";""
"2397 Mottagna depositioner";"-32 378";"0";"-32 378"
"Summa Övriga långfristiga skulder";"-32 378";"0";"-32 378"
"Summa långfristiga skulder";"-46 398 729";"2 018 551";"-44 380 178"
"KORTFRISTIGA SKULDER";"";"";""
"LEVERANTÖRSSKULDER";"";"";""
"2410 Använd ej, gammalt konto";"-1 500 000";"-1 000 000";"-2 500 000"
"2440 Leverantörsskulder";"-270 125";"146 415";"-123 710"
"Summa Leverantörsskulder";"-1 770 125";"-853 585";"-2 623 710"
"SKATTESKULDER";"";"";""
"2510 Fastställd skatt";"-405 148";"262 148";"-143 000"
"2513 Beräknad fastighetsskatt";"-73 953";"-201 657";"-275 610"
"2518 Betald preliminärskatt";"360 302";"47 166";"407 468"
"Summa Skatteskulder";"-118 799";"107 657";"-11 142"
"ÖVRIGA KORTFRISTIGA SKULDER";"";"";""
"2650 Redovisningskonto moms";"-20 050";"-2 100";"-22 150"
"Summa Övriga kortfristiga skulder";"-20 050";"-2 100";"-22 150"
"UPPLUPNA KOSTNADER OCH FÖRUTBETALDA INTÄKTER";"";"";""
"2992 Beräkn arvode revision";"0";"-38 000";"-38 000"
"Summa Upplupna kostnader och förutbetalda intäkter";"0";"-38 000";"-38 000"
"Summa kortfristiga skulder";"-1 908 974";"-786 028";"-2 695 002"
"Summa Eget kapital och skulder";"-103 174 694";"239 398";"-102 935 297"
"Kapitalförändring";"435 986";"-341 991";"93 994"
