Realtidsbalansrapport ;""
Kundnamn: Brf Strandparken Kungsholmen;""
Organisationsnummer: 716420-4682;""
"";""
"";"Ingående balans
(2015-01-01)
";"2015-01-01 - 2015-12-31";"Utgående balans
(2015-12-31)"
"TILLGÅNGAR";"";"";""
"ANLÄGGNINGSTILLGÅNGAR";"";"";""
"MATERIELLA ANLÄGGNINGSTILLGÅNGAR";"";"";""
"BYGGNADER OCH MARK";"";"";""
"1110 Byggnader";"106 732 263";"0";"106 732 263"
"1114 Fastighetsförbättringar";"96 375";"0";"96 375"
"1116 Ack avskrivning Byggnader";"-4 805 431";"-1 017 341";"-5 822 772"
"1117 Ack. avsk. fast.förb";"-12 048";"-4 077";"-16 124"
"Summa Byggnader och mark";"102 011 160";"-1 021 418";"100 989 742"
"Summa materiella anläggningstillgångar";"102 011 160";"-1 021 418";"100 989 742"
"Summa Anläggningstillgångar";"102 011 160";"-1 021 418";"100 989 742"
"OMSÄTTNINGSTILLGÅNGAR";"";"";""
"KORTFRISTIGA FORDRINGAR";"";"";""
"KUND- OCH AVGIFTSFORDRINGAR";"";"";""
"1510 Avräkn. avgifts-& hyresfordr.";"-510 572";"-166 251";"-676 823"
"Summa Kund- och avgiftsfordringar";"-510 572";"-166 251";"-676 823"
"ÖVRIGA KORTFRISTIGA FORDRINGAR";"";"";""
"1630 Avräkn skatter o avgifter";"476";"18 720";"19 196"
"1680 Övriga kortfristiga fordringar";"-57 867";"57 867";"0"
"Summa Övriga kortfristiga fordringar";"-57 391";"76 587";"19 196"
"FÖRUTBETALDA KOSTNADER OCH UPPLUPNA INTÄKTER";"";"";""
"1730 Förutbet försäkr premier";"53 317";"-22 694";"30 623"
"1790 Övr förutb kostn uppl int";"195 747";"46 139";"241 886"
"Summa Förutbetalda kostnader och upplupna intäkter";"249 064";"23 445";"272 509"
"Summa kortfristiga fordringar";"-318 899";"-66 219";"-385 118"
"KASSA OCH BANK";"";"";""
"1910 Kassa";"766";"-405";"361"
"1930 Checkräkning";"1 336 265";"341 184";"1 677 448"
"Summa kassa och bank";"1 337 031";"340 779";"1 677 809"
"Summa Omsättningstillgångar";"1 018 132";"274 560";"1 292 691"
"Summa Tillgångar";"103 029 291";"-746 858";"102 282 433"
"EGET KAPITAL OCH SKULDER";"";"";""
"EGET KAPITAL";"";"";""
"BUNDET EGET KAPITAL";"";"";""
"MEDLEMSINSATSER";"";"";""
"2083 Insatser";"-44 628 132";"0";"-44 628 132"
"2087 Upplåtelseavgifter";"-954 155";"0";"-954 155"
"2089 Egna bostadsrätter";"-4 451 406";"-640 341";"-5 091 747"
"Summa Medlemsinsatser";"-50 033 693";"-640 341";"-50 674 034"
"Summa bundet eget kapital";"-50 033 693";"-640 341";"-50 674 034"
"FRITT EGET KAPITAL";"";"";""
"BALANSERAD VINST/FÖRLUST";"";"";""
"2091 Balanserad vinst/förlust";"-4 833 299";"-352 783";"-5 186 083"
"Summa Balanserad vinst/förlust";"-4 833 299";"-352 783";"-5 186 083"
"ÅRETS VINST/FÖRLUST";"";"";""
"2099 Årets resultat";"-993 124";"499 555";"-493 569"
"Summa Årets vinst/förlust";"-993 124";"499 555";"-493 569"
"Summa fritt eget kapital";"-5 826 424";"146 772";"-5 679 652"
"LÅNGFRISTIGA SKULDER";"";"";""
"SKULDER TILL KREDITINSTITUT";"";"";""
"2351 Fastighetslån";"-44 347 800";"1 500 000";"-42 847 800"
"Summa Skulder till kreditinstitut";"-44 347 800";"1 500 000";"-42 847 800"
"ÖVRIGA LÅNGFRISTIGA SKULDER";"";"";""
"2397 Mottagna depositioner";"-32 378";"32 378";"0"
"Summa Övriga långfristiga skulder";"-32 378";"32 378";"0"
"Summa långfristiga skulder";"-44 380 178";"1 532 378";"-42 847 800"
"KORTFRISTIGA SKULDER";"";"";""
"LEVERANTÖRSSKULDER";"";"";""
"2410 Använd ej, gammalt konto";"-2 500 000";"0";"-2 500 000"
"2440 Leverantörsskulder";"-123 710";"-487 053";"-610 763"
"Summa Leverantörsskulder";"-2 623 710";"-487 053";"-3 110 763"
"SKATTESKULDER";"";"";""
"2510 Fastställd skatt";"-143 000";"142 997";"-3"
"2513 Beräknad fastighetsskatt";"-275 610";"204 657";"-70 953"
"2518 Betald preliminärskatt";"407 468";"-186 752";"220 716"
"Summa Skatteskulder";"-11 142";"160 902";"149 760"
"ÖVRIGA KORTFRISTIGA SKULDER";"";"";""
"2650 Redovisningskonto moms";"-22 150";"-7 850";"-30 000"
"Summa Övriga kortfristiga skulder";"-22 150";"-7 850";"-30 000"
"UPPLUPNA KOSTNADER OCH FÖRUTBETALDA INTÄKTER";"";"";""
"2992 Beräkn arvode revision";"-38 000";"0";"-38 000"
"Summa Upplupna kostnader och förutbetalda intäkter";"-38 000";"0";"-38 000"
"Summa kortfristiga skulder";"-2 695 002";"-334 001";"-3 029 003"
"Summa Eget kapital och skulder";"-102 935 297";"704 808";"-102 230 489"
"Kapitalförändring";"93 994";"-42 051";"51 944"
