Realtidsresultatrapport ;;
Kundnamn: Brf Strandparken Kungsholmen;;
Organisationsnummer: 716420-4682;;
;;
;2020-01-01 - 2020-12-31;2019-01-01 - 2019-12-31
RÖRELSEINTÄKTER;;
NETTOOMSÄTTNING;;
RÖRELSENS HUVUDINTÄKTER;;
3021 Årsavgifter bostäder;3 775 416;3 769 726
3050 Övriga avgifter;0;4 841
3052 Hyresintäkter lokaler;1 668 640;1 751 596
3054 Hyresintäkter garage;563 800;557 200
3055 Hyresintäkter garage, moms;365 200;357 200
3057 Hyresintäkter p-plats, moms;8 000;0
Summa Rörelsens huvudintäkter;6 381 056;6 440 563
ERSÄTTNINGAR OCH INTÄKTER FRÅN HYRESGÄSTER;;
3218 Övriga intäkter;8 550;-30 000
3250 Övrig intäkt;0;-46 462
Summa Ersättningar och intäkter från hyresgäster;8 550;-76 462
FAKTURERADE KOSTNADER;;
3522 Överlåtelseavgift;0;1 163
Summa Fakturerade kostnader;0;1 163
Summa nettoomsättning;6 389 606;6 365 264
ÖVRIGA RÖRELSEINTÄKTER;;
3740 Öres- och kronutjämning;0;-43
3990 Övriga intäkter;19;0
Summa övriga rörelseintäkter;19;-43
Summa Rörelseintäkter;6 389 625;6 365 221
RÖRELSEKOSTNADER;;
DRIFTKOSTNADER;;
FASTIGHETSSKÖTSEL OCH STÄD;;
4000 Fastskötsel,städ material;-100;-170
4112 Larm och bevakning;-1 500;0
4119 Fastskötsel/teknisk förv extra;-65 157;-47 511
4120 Entrepkostn städ;-119 808;-145 919
4121 Städning beställning;-91 625;0
4140 Besiktningskostnader;-30 134;-262 265
4141 Ventilationskontroll OVK;0;-1 019
4150 Hiss serviceavtal;0;-9 979
4155 Övriga serviceavtal;-23 970;-11 738
4160 Trädgård och blommor;-1 150;-655
4170 Snöskottning och sandupptagning;-1 944;-47 638
4185 Mattservice;-9 178;-2 935
4190 Övriga köpta tjänster;0;-12 409
Summa Fastighetsskötsel och städ;-344 566;-542 238
REPARATIONER;;
4300 Övriga rep./underhåll;-234 945;-171 769
4310 Underhåll;-825;0
4331 Tvättstuga;-18 648;-1 075
4332 Trapphus/port/entré;-42 500;-31 441
4341 VA;0;-79 245
4344 El;0;-11 236
4346 Hissar;-123 131;-91 998
4399 Temp. rep und eller projekt;-12 500;0
Summa Reparationer;-432 549;-386 764
PLANERAT UNDERHÅLL;;
4301 Planerade underhåll;-950 662;-268 999
Summa Planerat underhåll;-950 662;-268 999
TAXEBUNDNA KOSTNADER;;
4611 Fastighetsel;-247 792;-331 755
4623 Fjärrvärme;-541 391;-583 597
4630 Vatten;-109 728;-104 524
4640 Sophämtning;-54 588;-49 273
4641 Grovsopor, tidningar;-54 544;-52 412
4690 Övrigt;0;-5 256
Summa Taxebundna kostnader;-1 008 043;-1 126 817
ÖVRIGA DRIFTSKOSTNADER;;
4710 Fastighetsförsäkringar;-162 157;-147 803
4741 Tomträttsavgäld;-878 300;-805 108
4760 Kabel-TV;-65 747;-106 036
4761 Bredband;-103 820;-40 654
4780 Arvode teknisk förvaltning;-1 875;0
Summa Övriga driftskostnader;-1 211 899;-1 099 601
FASTIGHETSSKATT;;
4800 Fastighetsskatt;-402 595;-326 221
4805 Beräknad fastighetsskatt;-134 195;0
4806 Korr. fastighetsskatt;17 121;-3 711
Summa Fastighetsskatt;-519 669;-329 932
Summa driftkostnader;-4 467 388;-3 754 351
ÖVRIGA EXTERNA KOSTNADER;;
FÖRBRUKNINGSINVENTARIER OCH FÖRBRUKNINGSMATERIAL;;
5410 Förbrukningsinventarier;-838;-48 643
Summa Förbrukningsinventarier och förbrukningsmaterial;-838;-48 643
TELE OCH POST;;
6210 Telekommunikation;-8 622;-4 653
6230 Datakommunikation;-16 616;-11 092
6250 Postbefordran;-144;-2 511
Summa Tele och post;-25 382;-18 256
FÖRVALTNINGSKOSTNADER;;
6420 Revisionsarvoden;-35 938;-1 500
6470 Styr.möte/stämma/städdag;-8 433;0
6471 Trivselåtgärder;-600;0
6480 Arvode ekonomisk förvaltning;-99 104;-182 844
6481 Tidigare förvaltning;0;-16 622
6482 Extradebitering förvaltn.;-5 897;-29 332
6485 Förvaltningsarvoden;-103 572;0
6490 Övr förvaltningskostnader;-3 850;-9 699
Summa Förvaltningskostnader;-257 393;-239 997
ÖVRIGA EXTERNA TJÄNSTER;;
6550 Konsultkostnader;0;0
6560 Serv.avg branschorg.;-6 020;0
6570 Bankkostnader;-3 574;-3 801
6580 Advokat/rätteg kostn;0;0
Summa Övriga externa tjänster;-9 594;-3 801
ÖVRIGA EXTERNA KOSTNADER;;
6980 Medlems- & föreningsavg;0;-3 940
6990 Övriga externa kostnader;-2 197;-500
Summa Övriga externa kostnader;-2 197;-4 440
Summa övriga externa kostnader;-295 404;-315 137
PERSONALKOSTNADER;;
ARVODEN;;
6410 Styrelsearvoden;0;-201 300
Summa Arvoden;0;-201 300
LÖNER TILL KOLLEKTIVANSTÄLLDA;;
7000 Löner kollektivanställda;0;-50
Summa Löner till kollektivanställda;0;-50
SOCIALA OCH ANDRA AVGIFTER ENLIGT LAG OCH AVTAL;;
7510 Lagstadgade arb giv avg;0;-57 334
Summa Sociala och andra avgifter enligt lag och avtal;0;-57 334
Summa personalkostnader;0;-258 684
Resultat före Avskrivningar;1 626 833;2 037 049
AVSKRIVNINGAR;;
7821 Avskrivn byggnader;1 539 828;-1 220 519
7822 Avskrivning fast. förbätr;-17 640;-21 761
Summa avskrivningar;1 522 188;-1 242 281
Summa Rörelsekostnader;-3 240 604;-5 570 453
Rörelseresultat;3 149 021;794 768
FINANSIELLA POSTER;;
RÄNTEKOSTNADER OCH LIKNANDE RESULTATPOSTER;;
8410 Låneräntor;-543 022;-505 231
Summa räntekostnader och liknande resultatposter;-543 022;-505 231
Resultat efter finansiella poster;2 605 999;289 537
Årets resultat;2 605 999;289 537
