"","year","Summa Fastighetsskötsel och städ","Summa Reparationer","Summa Planerat underhåll","Summa Taxebundna kostnader","Summa Fastighetsskatt"
"1",2012,-52119,-90142,-182032,-211530,-69414
"2",2013,-323805,-252768,-69037,-1045161,-295813
"3",2014,-265942,-577491,-51567,-913465,-188347
"4",2015,-185172,-811855,-134044,-900513,-214636
"5",2016,-186679,-577843,-298683,-908208,-256036
"6",2017,-191116,-362937,-454619,-917902,-213114
"7",2018,-189450,-276340,-369176,-1019920,-232969
"8",2019,-542238,-386764,-268999,-1126817,-329932
"9",2020,-344566,-432549,-950662,-1008043,-519669
"10",2021,-571684,-224854,241406,-1242406,-420598
"11",2022,-519234,-1790510,-3700,-1184692,-454645
