"","year","Resultat före Avskrivningar","Summa avskrivningar","Rörelseresultat","Resultat efter finansiella poster","Årets resultat"
"1",2012,1038504,-108639,929865,331673,383382
"2",2013,2858773,-335601,2523172,1001842,982444
"3",2014,2821329,-839759,1981570,651133,651133
"4",2015,2553233,-1021418,1531815,451519,451519
"5",2016,2331102,-1225500,1105602,247529,247529
"6",2017,2303761,-1225333,1078428,456826,456826
"7",2018,2159372,-1226358,933014,403156,403156
"8",2019,2037049,-1242281,794768,289537,289537
"9",2020,1626833,1522188,3149021,2605999,2605999
"10",2021,2633035,-5553899,-2920864,-3408050,-3408050
"11",2022,2169937,-2356053,-186116,-688462,-688462
